ensg	biotype
ENSG00000243485.5	lncRNA
ENSG00000237613.2	lncRNA
ENSG00000238009.6	lncRNA
ENSG00000239945.1	lncRNA
ENSG00000239906.1	lncRNA
ENSG00000241860.7	lncRNA
ENSG00000241599.1	lncRNA
ENSG00000286448.1	lncRNA
ENSG00000236601.2	lncRNA
ENSG00000235146.2	lncRNA
ENSG00000229905.1	lncRNA
ENSG00000237491.10	lncRNA
ENSG00000177757.2	lncRNA
ENSG00000225880.5	lncRNA
ENSG00000288531.1	lncRNA
ENSG00000230368.2	lncRNA
ENSG00000272438.1	lncRNA
ENSG00000230699.2	lncRNA
ENSG00000241180.1	lncRNA
ENSG00000272512.1	lncRNA
ENSG00000224969.1	lncRNA
ENSG00000242590.1	lncRNA
ENSG00000273443.1	lncRNA
ENSG00000285812.1	lncRNA
ENSG00000223823.1	lncRNA
ENSG00000272141.1	lncRNA
ENSG00000205231.1	lncRNA
ENSG00000260179.1	lncRNA
ENSG00000230415.1	lncRNA
ENSG00000240731.1	lncRNA
ENSG00000272455.1	lncRNA
ENSG00000225905.1	lncRNA
ENSG00000225285.1	lncRNA
ENSG00000286989.1	lncRNA
ENSG00000272106.1	lncRNA
ENSG00000272004.1	lncRNA
ENSG00000268575.1	lncRNA
ENSG00000231050.2	lncRNA
ENSG00000233542.2	lncRNA
ENSG00000226969.1	lncRNA
ENSG00000271806.1	lncRNA
ENSG00000182873.5	lncRNA
ENSG00000234396.3	lncRNA
ENSG00000287356.1	lncRNA
ENSG00000272161.1	lncRNA
ENSG00000272420.1	lncRNA
ENSG00000224387.1	lncRNA
ENSG00000229393.1	lncRNA
ENSG00000272449.2	lncRNA
ENSG00000238164.6	lncRNA
ENSG00000228037.1	lncRNA
ENSG00000289610.1	lncRNA
ENSG00000237058.1	lncRNA
ENSG00000285945.1	lncRNA
ENSG00000283259.1	lncRNA
ENSG00000233234.1	lncRNA
ENSG00000287396.1	lncRNA
ENSG00000231630.1	lncRNA
ENSG00000284745.1	lncRNA
ENSG00000177133.13	lncRNA
ENSG00000226286.1	lncRNA
ENSG00000272235.1	lncRNA
ENSG00000287828.1	lncRNA
ENSG00000286518.1	lncRNA
ENSG00000272088.1	lncRNA
ENSG00000238260.2	lncRNA
ENSG00000227589.1	lncRNA
ENSG00000235131.1	lncRNA
ENSG00000272153.1	lncRNA
ENSG00000236423.7	lncRNA
ENSG00000233304.7	lncRNA
ENSG00000226374.3	lncRNA
ENSG00000284668.2	lncRNA
ENSG00000284703.1	lncRNA
ENSG00000235054.4	lncRNA
ENSG00000284694.1	lncRNA
ENSG00000227169.2	lncRNA
ENSG00000232596.3	lncRNA
ENSG00000287586.1	lncRNA
ENSG00000284739.1	lncRNA
ENSG00000284674.1	lncRNA
ENSG00000231510.1	lncRNA
ENSG00000284616.1	lncRNA
ENSG00000284692.2	lncRNA
ENSG00000284666.1	lncRNA
ENSG00000260972.1	lncRNA
ENSG00000236948.2	lncRNA
ENSG00000226944.1	lncRNA
ENSG00000225077.3	lncRNA
ENSG00000271746.1	lncRNA
ENSG00000231868.1	lncRNA
ENSG00000228750.7	lncRNA
ENSG00000284744.1	lncRNA
ENSG00000237436.1	lncRNA
ENSG00000237365.1	lncRNA
ENSG00000237402.1	lncRNA
ENSG00000237728.2	lncRNA
ENSG00000225126.1	lncRNA
ENSG00000270171.1	lncRNA
ENSG00000270035.1	lncRNA
